location,lon,lat,dynasty,year,author,title,lines,source_file
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 四,青海長雲暗雪山，孤城遙望玉門關。 | 黃沙百戰穿金甲，不破樓蘭終不還。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 五,大漠風塵日色昏，紅旗半捲出轅門。 | 前軍夜戰洮河北，已報生擒吐谷渾。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 六,胡瓶落膊紫薄汗，碎葉城西秋月團。 | 明敕星馳封寶劒，辭君一夜取樓蘭。,poet.tang.6000.json
凉州,102.64,37.93,唐,727,王昌齡,從軍行七首 七,玉門山嶂幾千重，山北山南總是烽。 | 人依遠戍須看火，馬踏深山不見蹤。,poet.tang.6000.json
剑门,105.53,32.29,宋,1172,陸游,劍門道中遇微雨,衣上征塵雜酒痕，遠遊無處不消魂。 | 此身合是詩人未，細雨騎驢入劍門。,poet.song.127000.json
剑门,105.53,32.29,宋,1172,陸游,馬上作,平橋小陌雨初收，淡日穿雲翠靄浮。 | 楊柳不遮春色斷，一枝紅杏出牆頭。,poet.song.129000.json
剑门,105.53,32.29,宋,1172,陸游,馬上作,白髮憑鞍一老翁，出門漏鼓尚鼕鼕。 | 凄涼旅思傳呼裏，零落新詩假寐中。 | 正苦文移来陸續，何由笠釣入空濛。 | 浮生正自少如意，付與秋風吹斷蓬。,poet.song.130000.json
剑门,105.53,32.29,宋,1172,陸游,馬上作,三十年前客帝城，城南結騎盡豪英。 | 湖山冷落悲陳迹，文字流傳付後生。 | 衰老更禁新卧病，塵埃時拂舊題名。 | 馬頭風捲飛花過，又得殘春一日晴。,poet.song.130000.json
华山,110.09,34.47,宋,985,寇準,華山,祇有天在上，更無山與齊。 | 舉頭紅日近，回首白雲低。,poet.song.4000.json
南昌,115.89,28.68,宋,1082,黄庭堅,登快閣,癡兒了却公家事，快閣東西倚晚晴。 | 落木千山天遠大，澄江一道月分明。 | 朱絃已爲佳人絕，青眼聊因美酒橫。 | 萬里歸船弄長笛，此心吾與白鷗盟。,poet.song.56000.json
合肥,117.28,31.86,宋,1191,姜夔,淡黄柳,空城晓月。 | 吹入垂杨陌。 | 马上单衣寒恻恻。 | 看尽鹅黄嫩绿，都是江南旧相识。 | 正岑寂。 | 明朝又寒食。 | 强携酒、小桥宅，怕梨花落尽成秋色。 | 燕燕飞来，问春何在，唯有池塘自碧。,ci.song.12000.json
吉州,114.99,27.11,宋,1188,辛弃疾,破阵子,醉里挑灯看剑，梦回吹角连营。 | 八百里分麾下炙，五十弦翻塞外声。 | 沙场秋点兵。 | 马作的卢飞快，弓如霹雳弦惊。 | 了却君王天下事，赢得生前身后名。 | 可怜白发生。,ci.song.11000.json
吉州,114.99,27.11,宋,,辛弃疾,破阵子,少日春风满眼，而今秋叶辞柯。 | 便好消磨心下事，莫忆寻常醉后歌。 | 可怜白发多。 | 明日扶头颠倒，倩谁伴舞婆娑。 | 我定思君拼瘦损，君不思兮可奈何。 | 天寒将息呵。,ci.song.11000.json
吉州,114.99,27.11,宋,,辛弃疾,破阵子,宿麦畦中雉鷕，柔桑陌上蚕生。 | 骑火须防花月暗，玉唾长携彩笔行。 | 隔墙人笑声。 | 莫说弓刀事业，依然诗酒功名。 | 千载图中今古事，万石溪头长短亭。 | 小塘风浪平。,ci.song.11000.json
吉州,114.99,27.11,宋,,辛弃疾,破阵子,掷地刘郎玉斗，挂帆西子扁舟。 | 千古风流今在此，万里功名莫放休。 | 君王三百州。 | 燕雀岂知鸿鹄，貂蝉元出兜鍪。 | 却笑泸溪如斗大，肯把牛刀试手不。 | 寿君双玉瓯。,ci.song.11000.json
吉州,114.99,27.11,宋,,辛弃疾,破阵子,菩萨丛中惠眼，硕人诗里娥眉。 | 天上人间真福相，画就描成好靥儿。 | 行时娇更迟。 | 劝酒偏他最劣，笑时犹有些痴。 | 更著十年君看取，两国夫人更是谁。 | 殷勤秋水词。,ci.song.3000.json
大散关,106.73,34.03,宋,1186,陸游,書憤,早歲那知世事艱，中原北望氣如山。 | 樓船夜雪瓜洲渡，鐵馬秋風大散關。 | 塞上長城空自許，鏡中衰鬢已先斑。 | 出師一表真名世，千載誰堪伯仲間。,poet.song.129000.json
大散关,106.73,34.03,宋,1186,陸游,書憤,清汴逶迤貫舊京，宫牆春草幾番生。 | 剖心莫寫孤臣憤，抉眼終看此虜平。 | 天地固將容小醜，冦戎自慣瀆齊盟。 | 蓬窗老抱横行略，未敢隨人說弭兵。,poet.song.129000.json
大散关,106.73,34.03,宋,1186,陸游,書憤,山河自古有乖分，京洛腥膻實未聞。 | 劇盜曾從宗父命，遺民猶望岳家軍。 | 上天悔禍終平虜，公道何人肯散群。 | 白首自知疏報國，尚憑精意祝爐熏。,poet.song.130000.json
天姥山,121.0,29.2,唐,745,李白,夢遊天姥吟留別,海客談瀛洲，煙濤微茫信難求。 | 越人語天姥，雲霓明滅或可覩。 | 天姥連天向天橫，勢拔五嶽掩赤城。 | 天台四萬八千丈，對此欲倒東南傾。 | 我欲因之夢吳越，一夜飛度鏡湖月。 | 湖月照我影，送我至剡溪。 | 謝公宿處今尚在，淥水蕩漾清猨啼。 | 脚著謝公屐，身登青雲梯。 | 半壁見海日，空中聞天雞。 | 千巖萬轉路不定，迷花倚石忽已暝。 | 熊咆龍吟殷巖泉，慄深林兮驚層巔。 | 雲青青兮欲雨，水澹澹兮生煙。 | 列缺霹靂，丘巒崩摧。 | 洞天石扇，訇然中開。 | 青冥浩蕩不見底，日月照耀金銀臺。 | 霓爲衣兮風爲馬，雲之君兮紛紛而來下。 | 虎鼓瑟兮鸞迴車，仙之人兮列如麻。 | 忽魂悸以魄動，怳驚起而長嗟。 | 惟覺時之枕席，失向來之煙霞。 | 世間行樂亦如此，古來萬事東流水。 | 別君去時何時還，且放白鹿青崖間，須行即騎訪名山。 | 安能摧眉折腰事權貴？ | 使我不得開心顏。,poet.tang.8000.json
天姥山,121.0,29.2,唐,747,李白,天台曉望,天台鄰四明，華頂高百越。 | 門標赤城霞，樓棲滄島月。 | 憑高登遠覽，直下見溟渤。 | 雲垂大鵬翻，波動巨鼇沒。 | 風潮爭洶湧，神怪何翕忽。 | 觀奇跡無倪，好道心不歇。 | 攀條摘朱實，服藥鍊金骨。 | 安得生羽毛，千春臥蓬闕。,poet.tang.8000.json
太原,112.55,37.87,唐,735,李白,太原早秋,歲落衆芳歇，時當大火流。 | 霜威出塞早，雲色渡河秋。 | 夢繞邊城月，心飛故國樓。 | 思歸若汾水，無日不悠悠。,poet.tang.8000.json
宣城,118.76,30.95,唐,725,李白,望天門山,天門中斷楚江開，碧水東流至北迴。 | 兩岸青山相對出，孤帆一片日邊來。,poet.tang.8000.json
宣城,118.76,30.95,唐,753,李白,送友人,青山橫北郭，白水遶東城。 | 此地一爲別，孤蓬萬里征。 | 浮雲遊子意，落日故人情。 | 揮手自茲去，蕭蕭班馬鳴。,poet.tang.8000.json
宣城,118.76,30.95,唐,753,李白,宣州謝朓樓餞別校書叔雲,棄我去者昨日之日不可留，亂我心者今日之日多煩憂。 | 長風萬里送秋雁，對此可以酣高樓。 | 蓬萊文章建安骨，中間小謝又清發。 | 俱懷逸興壯思飛，欲上青天覽日月。 | 抽刀斷水水更流，舉杯銷愁愁更愁。 | 人生在世不稱意，明朝散髮弄扁舟。,poet.tang.8000.json
宣城,118.76,30.95,唐,753,李白,秋登宣城謝朓北樓,江城如畫裏，山曉望晴空。 | 兩水夾明鏡，雙橋落彩虹。 | 人煙寒橘柚，秋色老梧桐。 | 誰念北樓上，臨風懷謝公。,poet.tang.8000.json
宣城,118.76,30.95,唐,753,李白,獨坐敬亭山,衆鳥高飛盡，孤雲獨去閑。 | 相看兩不厭，只有敬亭山。,poet.tang.8000.json
宣城,118.76,30.95,唐,755,李白,贈汪倫,李白乘舟將欲行，忽聞岸上踏歌聲。 | 桃花潭水深千尺，不及汪倫送我情。,poet.tang.8000.json
密州,119.41,35.99,宋,1076,苏轼,水调歌头,明月几时有，把酒问青天。 | 不知天上宫阙，今夕是何年。 | 我欲乘风归去，又恐琼楼玉宇，高处不胜寒。 | 起舞弄清影，何似在人间。 | 转朱阁，低绮户，照无眠。 | 不应有恨，何事长向别时圆。 | 人有悲欢离合，月有阴晴圆缺，此事古难全。 | 但愿人长久，千里共婵娟。,ci.song.1000.json
密州,119.41,35.99,宋,,苏轼,水调歌头,落日绣帘卷，亭下水连空。 | 知君为我，新作窗户湿青红。 | 长记平山堂上，敧枕江南烟雨，渺渺没孤鸿。 | 认得醉翁语，山色有无中。 | 一千顷，都镜净，倒碧峰。 | 忽然浪起，掀舞一叶白头翁。 | 堪笑兰台公子，未解庄生天籁，刚道有雌雄。 | 一点浩然气，千里快哉风。,ci.song.1000.json
密州,119.41,35.99,宋,,苏轼,水调歌头,安石在东海，从事鬓惊秋。 | 中年亲友难别，丝竹缓离愁。 | 一旦功成名遂，准拟东还海道，扶病入西州。 | 雅志困轩冕，遗恨寄沧洲。 | 岁云暮，须早计，要褐裘。 | 故乡归去千里，佳处辄迟留。 | 我醉歌时君和，醉倒须君扶我，惟酒可忘忧。 | 一任刘玄德，相对卧高楼。,ci.song.1000.json
密州,119.41,35.99,宋,,苏轼,水调歌头,昵昵儿女语，灯火夜微明。 | 恩冤尔汝来去，弹指泪和声。 | 忽变轩昂勇士，一鼓填然作气，千里不留行。 | 回首暮云远，飞絮搅青冥。 | 众禽里，真彩凤，独不鸣。 | 跻攀寸步千险，一落百寻轻。 | 烦子指间风雨，置我肠中冰炭，起坐不能平。 | 推手从归去，无泪与君倾。,ci.song.1000.json
岳阳,113.13,29.36,唐,768,杜甫,登岳陽樓,昔聞洞庭水，今上岳陽樓。 | 吳楚東南坼，乾坤日夜浮。 | 親朋無一字，老病有孤舟。 | 戎馬關山北，憑軒涕泗流。,poet.tang.11000.json
岳阳,113.13,29.36,唐,824,劉禹錫,望洞庭,湖光秋月兩相和，潭面無風鏡未磨。 | 遙望洞庭山水翠，白銀盤裏一青螺。,poet.tang.19000.json
峨眉山,103.48,29.6,唐,724,李白,峨眉山月歌,峨眉山月半輪秋，影入平羌江水流。 | 夜發清溪向三峽，思君不見下渝州。,poet.tang.8000.json
峨眉山,103.48,29.6,唐,724,李白,登峨眉山,蜀國多仙山，峨眉邈難匹。 | 周流試登覽，絕怪安可息。 | 青冥倚天開，彩錯疑畫出。 | 泠然紫霞賞，果得錦囊術。 | 雲間吟瓊簫，石上弄寶瑟。 | 平生有微尚，歡笑自此畢。 | 烟容如在顏，塵累忽相失。 | 儻逢騎羊子，攜手凌白日。,poet.tang.8000.json
巴山,107.5,31.8,唐,851,李商隱,夜雨寄北,君問歸期未有期，巴山夜雨漲秋池。 | 何當共剪西窗燭，却話巴山夜雨時。,poet.tang.29000.json
巴山,107.5,31.8,唐,858,李商隱,錦瑟,錦瑟無端五十絃，一絃一柱思華年。 | 莊生曉夢迷蝴蝶，望帝春心託杜鵑。 | 滄海月明珠有淚，藍田日暖玉生煙。 | 此情可待成追憶，只是當時已惘然。,poet.tang.29000.json
幽州,116.4,39.9,唐,696,陳子昂,登幽州臺歌,前不見古人，後不見來者。 | 念天地之悠悠，獨愴然而涕下。,poet.tang.4000.json
幽州,116.4,39.9,唐,738,高適,相和歌辭 燕歌行,漢家煙塵在東北，漢將辭家破殘賊。 | 男兒本自重橫行，天子非常賜顏色。 | 摐金伐鼓下榆關，旌旗逶迤碣石間。 | 校尉羽書飛瀚海，單于獵火照狼山。 | 山川蕭條極邊土，胡騎憑凌雜風雨。 | 戰士軍前半死生，美人帳下猶歌舞。 | 大漠窮秋塞草衰，孤城落日鬬兵稀。 | 身當恩遇常輕敵，力盡關山未解圍。 | 鐵衣遠戍辛勤久，玉箸應啼別離後。 | 少婦城南欲斷腸，征人薊北空回首。 | 邊風飄飄那可度，絕域蒼茫更何有。 | 殺氣三日作陣雲，寒聲一夜傳刁斗。 | 相看白刃血紛紛，死節從來豈顧勳。 | 君不見沙場征戰苦，至今猶憶李將軍。,poet.tang.1000.json
幽州,116.4,39.9,唐,738,高適,燕歌行,漢家煙塵在東北，漢將辭家破殘賊。 | 男兒本自重橫行，天子非常賜顏色。 | 摐金伐鼓下榆關，旌斾逶迤碣石間。 | 校尉羽書飛瀚海，單于獵火照狼山。 | 山川蕭條極邊土，胡騎憑陵雜風雨。 | 戰士軍前半死生，美人帳下猶歌舞。 | 大漠窮秋塞草腓，孤城落日鬬兵稀。 | 身當恩遇恆輕敵，力盡關山未解圍。 | 鐵衣遠戍辛勤久，玉筯應啼別離後。 | 少婦城南欲斷腸，征人薊北空回首。 | 邊庭飄颻那可度，絕域蒼茫更何有。 | 殺氣三時作陣雲，寒聲一夜傳刁斗。 | 相看白刃血紛紛，死節從來豈顧勳。 | 君不見沙場征戰苦，至今猶憶李將軍。,poet.tang.10000.json
幽州,116.4,39.9,唐,785,李益,夜上受降城聞笛,入夜思歸切，笛聲清更哀。 | 愁人不願聽，自到枕前來。 | 風起塞雲斷，夜深關月開。 | 平明獨惆悵，落盡一庭梅。,poet.tang.15000.json
幽州,116.4,39.9,唐,785,李益,夜上受降城聞笛,回樂峰前沙似雪，受降城下月如霜。 | 不知何處吹蘆管，一夜征人盡望鄉。,poet.tang.15000.json
庐山,115.98,29.56,唐,760,李白,廬山謠寄盧侍御虛舟,我本楚狂人，鳳歌笑孔丘。 | 手持綠玉杖，朝別黃鶴樓。 | 五嶽尋仙不辭遠，一生好入名山遊。 | 廬山秀出南斗傍，屏風九疊雲錦張，影落明湖青黛光。 | 金闕前開二峰長，銀河倒挂三石梁。 | 香爐瀑布遙相望，迴厓沓嶂凌蒼蒼。 | 翠影紅霞映朝日，鳥飛不到吳天長。 | 登高壯觀天地間，大江茫茫去不還。 | 黃雲萬里動風色，白波九道流雪山。 | 好爲廬山謠，興因廬山發。 | 閑窺石鏡清我心，謝公行處蒼苔沒。 | 早服還丹無世情，琴心三疊道初成。 | 遙見仙人綵雲裏，手把芙蓉朝玉京。 | 先期汗漫九垓上，願接盧敖遊太清。,poet.tang.8000.json
庐山,115.98,29.56,唐,817,白居易,大林寺桃花,人間四月芳菲盡，山寺桃花始盛開。 | 長恨春歸無覓處，不知轉入此中來。,poet.tang.22000.json
庐山,115.98,29.56,宋,1084,蘇軾,題西林壁,橫看成嶺側成峰，遠近高低總不同。 | 不識廬山真面目，只緣身在此山中。,poet.song.45000.json
延州,109.49,36.6,唐,737,王維,使至塞上,單車欲問邊，屬國過居延。 | 征蓬出漢塞，歸雁入胡天。 | 大漠孤煙直，長河落日圓。 | 蕭關逢候吏，都護在燕然。,poet.tang.6000.json
延州,109.49,36.6,唐,737,王維,使至塞上,銜命辭天闕，單車欲問邊。 | 征蓬出漢塞，歸雁入胡天。 | 大漠孤煙直，長河落日圓。 | 蕭關逢候吏，都護在燕然。,poet.tang.6000.json
延州,109.49,36.6,宋,1040,范仲淹,苏幕遮,碧云天，黄叶地。 | 秋色连波，波上寒烟翠。 | 山映斜阳天接水。 | 芳草无情，更在斜阳外。 | 黯乡魂，追旅思。 | 夜夜除非，好梦留人睡。 | 明月楼高休独倚。 | 酒入愁肠，化作相思泪。,ci.song.0.json
延州,109.49,36.6,宋,1040,范仲淹,渔家傲,塞下秋来风景异。 | 衡阳雁去无留意。 | 四面边声连角起。 | 千嶂里。 | 长烟落日孤城闭。 | 浊酒一杯家万里。 | 燕然未勒归无计。 | 羌管悠悠霜满地。 | 人不寐。 | 将军白发征夫泪。,ci.song.0.json
建州,118.3,27.05,宋,1196,朱熹,春日,勝日尋芳泗水濱，無邊光景一時新。 | 等閑識得東風面，萬紫千紅總是春。,poet.song.147000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 一,九曲黃河萬里沙，浪淘風簸自天涯。 | 如今直上銀河去，同到牽牛織女家。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 二,洛水橋邊春日斜，碧流清淺見瓊砂。 | 無端陌上狂風急，驚起鴛鴦出浪花。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 三,汴水東流虎眼紋，清淮曉色鴨頭春。 | 君看渡口淘沙處，渡却人間多少人。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 四,鸚鵡洲頭浪颭沙，青樓春望日將斜。 | 銜泥燕子爭歸舍，獨自狂夫不憶家。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 五,濯錦江邊兩岸花，春風吹浪正淘沙。 | 女郎剪下鴛鴦錦，將向中流疋晚霞。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 六,日照澄洲江霧開，淘金女伴滿江隈。 | 美人首飾侯王印，盡是沙中浪底來。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 七,八月濤聲吼地來，頭高數丈觸山回。 | 須臾却入海門去，卷起沙堆似雪堆。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 八,莫道讒言如浪深，莫言遷客似沙沉。 | 千淘萬漉雖辛苦，吹盡狂沙始到金。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,浪淘沙九首 九,流水淘沙不暫停，前波未滅後波生。 | 令人忽憶瀟湘渚，回唱迎神三兩聲。,poet.tang.19000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 一,九曲黃河萬里沙，浪淘風簸自天涯。 | 如今直上銀河去，同到牽牛織女家。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 二,洛水橋邊春日斜，碧流輕淺見瓊沙。 | 無端陌上狂風急，驚起鴛鴦出浪花。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 三,汴水東流虎眼文，清淮曉色鴨頭春。 | 君看渡口淘沙處，渡却人間多少人。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 四,鸚鵡洲頭浪颭沙，青樓春望日將斜。 | 銜泥燕子爭歸舍，獨自狂夫不憶家。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 五,濯錦江邊兩岸花，春風吹浪正淘沙。 | 女郎剪下鴛鴦錦，將向中流疋晚霞。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 六,日照澄洲江霧開，淘金女伴滿江隈。 | 美人首飾侯王印，盡是沙中浪底來。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 七,八月濤聲吼地來，頭高數丈觸山迴。 | 須臾却入海門去，卷起沙堆似雪堆。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 八,莫道讒言如浪深，莫言遷客似沙沈。 | 千淘萬漉雖辛苦，吹盡狂沙始到金。,poet.tang.2000.json
彭城,117.18,34.26,唐,826,劉禹錫,雜曲歌辭 浪淘沙 九,流水淘沙不暫停，前波未滅後波生。 | 令人忽憶瀟湘渚，迴唱迎神三兩聲。,poet.tang.2000.json
彭城,117.18,34.26,宋,1078,苏轼,永遇乐,长忆别时，景疏楼上，明月如水。 | 美酒清歌，留连不住，月随人千里。 | 别来三度，孤光又满，冷落共谁同醉。 | 卷珠帘，凄然顾影，共伊到明无寐。 | 今朝有客，来从淮上，能道使君深意。 | 凭仗清淮，分明到海，中有相思泪。 | 而今何在，西垣清禁，夜永露华侵被。 | 此时看，回廊晓月，也应暗记。,ci.song.1000.json
彭城,117.18,34.26,宋,1078,苏轼,永遇乐,明月如霜，好风如水，清景无限。 | 曲港跳鱼，圆荷泻露，寂寞无人见。 | 紞如三鼓，铿然一叶，黯黯梦云惊断。 | 夜茫茫，重寻无处，觉来小园行遍。 | 天涯倦客，山中归路，望断故园心眼。 | 燕子楼空，佳人何在，空锁楼中燕。 | 古今如梦，何曾梦觉，但有旧欢新怨。 | 异时对，黄楼夜景，为余浩叹。,ci.song.1000.json
彭城,117.18,34.26,宋,1078,苏轼,浣溪沙,簌簌衣巾落枣花。 | 村南村北响缲车。 | 牛衣古柳卖黄瓜。 | 酒困路长惟欲睡，日高人渴漫思茶。 | 敲门试问野人家。,ci.song.1000.json
成都,104.06,30.57,唐,735,李白,聽蜀僧濬彈琴,蜀僧抱綠綺，西下峨眉峰。 | 爲我一揮手，如聽萬壑松。 | 客心洗流水，餘響入霜鐘。 | 不覺碧山暮，秋雲暗幾重。,poet.tang.8000.json
成都,104.06,30.57,唐,742,李白,送友人入蜀,見說蠶叢路，崎嶇不易行。 | 山從人面起，雲傍馬頭生。 | 芳樹籠秦棧，春流遶蜀城。 | 升沉應已定，不必問君平。,poet.tang.8000.json
成都,104.06,30.57,唐,760,杜甫,蜀相,丞相祠堂何處尋，錦官城外柏森森。 | 映堦碧草自春色，隔葉黃鸝空好音。 | 三顧頻煩天下計，兩朝開濟老臣心。 | 出師未捷身先死，長使英雄淚滿襟。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,茅屋爲秋風所破歌,八月秋高風怒號，卷我屋上三重茅。 | 茅飛度江灑江郊，高者挂罥長林梢。 | 下者飄轉沈塘坳，南邨羣童欺我老無力。 | 忍能對面爲盜賊，公然抱茅入竹去。 | 脣焦口燥呼不得，歸來倚仗自歎息。 | 俄頃風定雲墨色，秋天漠漠向昏黑。 | 布衾多年冷似鐵，驕兒惡臥踏裏裂。 | 牀牀屋漏無乾處，雨脚如麻未斷絕。 | 自經喪亂少睡眠，長夜霑濕何由徹。 | 安得廣廈千萬間，大庇天下寒士俱歡顏。 | 風雨不動安如山，嗚呼！何時眼前突兀見此屋？ | 吾廬獨破受凍死亦足。,poet.tang.10000.json
成都,104.06,30.57,唐,761,杜甫,野望,清秋望不極，迢遰起曾陰。 | 遠水兼天淨，孤城隱霧深。 | 葉稀風更落，山迥日初沈。 | 獨鶴歸何晚，昏鴉已滿林。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,客至,舍南舍北皆春水，但見羣鷗日日來。 | 花徑不曾緣客掃，蓬門今始爲君開。 | 盤餐市遠無兼味，樽酒家貧只舊醅。 | 肯與鄰翁相對飲，隔籬呼取盡餘桮。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,春夜喜雨,好雨知時節，當春乃發生。 | 隨風潛入夜，潤物細無聲。 | 野徑雲俱黑，江船火獨明。 | 曉看紅濕處，花重錦官城。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,贈花卿,錦城絲管日紛紛，半入江風半入雲。 | 此曲秪應天上有，人間能得幾回聞。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,野望,西山白雪三奇戍，南浦清江萬里橋。 | 海內風塵諸弟隔，天涯涕淚一身遙。 | 唯將遲暮供多病，未有涓埃荅聖朝。 | 跨馬出郊時極目，不堪人事日蕭條。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,野望,金華山北涪水西，仲冬風日始淒淒。 | 山連越巂蟠三蜀，水散巴渝下五溪。 | 獨鶴不知何事舞，飢烏似欲向人啼。 | 射洪春酒寒仍綠，目極傷神誰爲攜。,poet.tang.11000.json
成都,104.06,30.57,唐,761,杜甫,野望,納納乾坤大，行行郡國遙。 | 雲山兼五嶺，風壤帶三苗。 | 野樹侵江闊，春蒲長雪消。 | 扁舟空老去，無補聖明朝。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,絕句,江邊踏青罷，迴首見旌旗。 | 風起春城暮，高樓鼓角悲。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,絕句二首 一,遲日江山麗，春風花草香。 | 泥融飛燕子，沙暖睡鴛鴦。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,絕句二首 二,江碧鳥逾白，山青花欲燃。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,登樓,花近高樓傷客心，萬方多難此登臨。 | 錦江春色來天地，玉壘浮雲變古今。 | 北極朝廷終不改，西山寇盜莫相侵。 | 可憐後主還祠廟，日暮聊爲梁甫吟。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,宿府,清秋幕府井梧寒，獨宿江城蠟炬殘。 | 永夜角聲悲自語，中天月色好誰看。 | 風塵荏苒音書絕，關塞蕭條行路難。 | 已忍伶俜十年事，強移栖息一枝安。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,絕句六首 一,日出籬東水，雲生舍北泥。 | 竹高鳴翡翠，沙僻舞鵾雞。,poet.tang.11000.json
成都,104.06,30.57,唐,764,杜甫,絕句六首 二,藹藹花蘂亂，飛飛蜂蝶多。 | 幽棲身懶動，客至欲如何。,poet.tang.11000.json
